2026-03-31 17:03:56,248 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:03:56,248'
2026-03-31 17:03:56,248 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:03:56,248'
2026-03-31 17:03:56,248 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:03:56,248'
2026-03-31 17:03:56,248 - DEBUG - Trying load 'urlshortener'..| extra=asctime='2026-03-31 17:03:56,248'
2026-03-31 17:03:56,319 - DEBUG - [urlshortener]: detected object module 'domain.WebApp_service.plugin.external.urlshortener.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:03:56,319'
2026-03-31 17:03:56,320 - DEBUG - [urlshortener]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:03:56,320'
2026-03-31 17:03:56,320 - DEBUG - [urlshortener]:apiServiceShortener: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:03:56,320'
2026-03-31 17:03:56,348 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/shorten/client.json' mode='r' encoding='cp1252'>| extra=asctime='2026-03-31 17:03:56,348'
2026-03-31 17:04:14,522 - DEBUG - WriteHandler initialized: Params(fp=<_io.TextIOWrapper name='data/database/shorten/client.json' mode='w' encoding='cp1252'>, obj=Blocked, indent=4)| extra=asctime='2026-03-31 17:04:14,522'
2026-03-31 17:04:14,522 - DEBUG - WriteHandler: json_write triggered! 
  Flag: Params(fp=<_io.TextIOWrapper name='data/database/shorten/client.json' mode='w' encoding='cp1252'>, obj=Blocked, indent=Ellipsis)| extra=asctime='2026-03-31 17:04:14,522'
2026-03-31 17:04:14,669 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/shorten/client.json' mode='r' encoding='cp1252'>| extra=asctime='2026-03-31 17:04:14,669'
2026-03-31 17:06:54,107 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-03-31 17:06:54,107'
2026-03-31 17:06:54,107 - DEBUG - Trying load 'auth'..| extra=asctime='2026-03-31 17:06:54,107'
2026-03-31 17:06:54,122 - DEBUG - [auth]: detected object module 'domain.WebApp_service.plugin.external.auth.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:06:54,122'
2026-03-31 17:06:54,122 - DEBUG - [auth]:Auth: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:06:54,122'
2026-03-31 17:06:54,207 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/privilege/user.json' mode='r' encoding='cp1252'>| extra=asctime='2026-03-31 17:06:54,207'
2026-03-31 17:06:54,207 - DEBUG - [auth]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:06:54,207'
2026-03-31 17:06:54,207 - DEBUG - Trying load 'test'..| extra=asctime='2026-03-31 17:06:54,207'
2026-03-31 17:06:54,207 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:06:54,207'
2026-03-31 17:06:54,207 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:06:54,207'
2026-03-31 17:06:54,207 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:06:54,207'
2026-03-31 17:06:54,207 - DEBUG - Trying load 'urlshortener'..| extra=asctime='2026-03-31 17:06:54,207'
2026-03-31 17:06:54,238 - DEBUG - [urlshortener]: detected object module 'domain.WebApp_service.plugin.external.urlshortener.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:06:54,238'
2026-03-31 17:06:54,238 - DEBUG - [urlshortener]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:06:54,238'
2026-03-31 17:06:54,238 - DEBUG - [urlshortener]:apiServiceShortener: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:06:54,238'
2026-03-31 17:06:54,269 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/shorten/client.json' mode='r' encoding='cp1252'>| extra=asctime='2026-03-31 17:06:54,269'
2026-03-31 17:09:44,332 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-03-31 17:09:44,332'
2026-03-31 17:09:44,332 - DEBUG - Trying load 'auth'..| extra=asctime='2026-03-31 17:09:44,332'
