2026-04-02 12:15:34,172 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-04-02 12:15:34,172'
2026-04-02 12:15:34,173 - DEBUG - Trying load 'auth'..| extra=asctime='2026-04-02 12:15:34,173'
2026-04-02 12:15:34,222 - DEBUG - [auth]: detected object module 'domain.WebApp_service.plugin.external.auth.main', finding 'setup_me'..| extra=asctime='2026-04-02 12:15:34,222'
2026-04-02 12:15:34,223 - DEBUG - [auth]:Auth: setup_me finded! object registered into Queue.| extra=asctime='2026-04-02 12:15:34,223'
2026-04-02 12:15:34,569 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/privilege/user.json' mode='r' encoding='cp1252'>| extra=asctime='2026-04-02 12:15:34,569'
2026-04-02 12:15:34,572 - DEBUG - Trying load 'test'..| extra=asctime='2026-04-02 12:15:34,572'
2026-04-02 12:15:34,582 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-04-02 12:15:34,582'
2026-04-02 12:15:34,583 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-04-02 12:15:34,583'
2026-04-02 12:15:34,583 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-04-02 12:15:34,583'
2026-04-02 12:15:34,583 - DEBUG - Trying load 'urlshortener'..| extra=asctime='2026-04-02 12:15:34,583'
2026-04-02 12:15:34,652 - DEBUG - [urlshortener]: detected object module 'domain.WebApp_service.plugin.external.urlshortener.main', finding 'setup_me'..| extra=asctime='2026-04-02 12:15:34,652'
2026-04-02 12:15:34,653 - DEBUG - [urlshortener]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-04-02 12:15:34,653'
2026-04-02 12:15:34,653 - DEBUG - [urlshortener]:apiServiceShortener: setup_me finded! object registered into Queue.| extra=asctime='2026-04-02 12:15:34,653'
2026-04-02 12:15:34,856 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/shorten/client.json' mode='r' encoding='cp1252'>| extra=asctime='2026-04-02 12:15:34,856'
2026-04-02 12:18:02,513 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-04-02 12:18:02,513'
2026-04-02 12:18:02,514 - DEBUG - Trying load 'auth'..| extra=asctime='2026-04-02 12:18:02,514'
2026-04-02 12:18:02,519 - DEBUG - [auth]: detected object module 'domain.WebApp_service.plugin.external.auth.main', finding 'setup_me'..| extra=asctime='2026-04-02 12:18:02,519'
2026-04-02 12:18:02,519 - DEBUG - [auth]:Auth: setup_me finded! object registered into Queue.| extra=asctime='2026-04-02 12:18:02,519'
2026-04-02 12:18:02,541 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/privilege/user.json' mode='r' encoding='cp1252'>| extra=asctime='2026-04-02 12:18:02,541'
2026-04-02 12:18:02,542 - DEBUG - Trying load 'test'..| extra=asctime='2026-04-02 12:18:02,542'
2026-04-02 12:18:02,546 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-04-02 12:18:02,546'
2026-04-02 12:18:02,546 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-04-02 12:18:02,546'
2026-04-02 12:18:02,546 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-04-02 12:18:02,546'
2026-04-02 12:18:02,546 - DEBUG - Trying load 'urlshortener'..| extra=asctime='2026-04-02 12:18:02,546'
2026-04-02 12:18:02,551 - DEBUG - [urlshortener]: detected object module 'domain.WebApp_service.plugin.external.urlshortener.main', finding 'setup_me'..| extra=asctime='2026-04-02 12:18:02,551'
2026-04-02 12:18:02,551 - DEBUG - [urlshortener]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-04-02 12:18:02,551'
2026-04-02 12:18:02,551 - DEBUG - [urlshortener]:apiServiceShortener: setup_me finded! object registered into Queue.| extra=asctime='2026-04-02 12:18:02,551'
2026-04-02 12:18:02,559 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/shorten/client.json' mode='r' encoding='cp1252'>| extra=asctime='2026-04-02 12:18:02,559'
2026-04-02 12:19:55,248 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-04-02 12:19:55,248'
2026-04-02 12:19:55,249 - DEBUG - Trying load 'auth'..| extra=asctime='2026-04-02 12:19:55,249'
